Vocabulary,Sound,POS,Original,Chinese,Where,Level,Alias,Source,Type
sciencey-sounding,sound/sciencey-sounding.mp3,Adjective,repeatedly **sciencey-sounding** claims,听起来像科学的／聽起來像科學的,S15 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
witness,sound/witness.mp3,Verb,bearing reliable **witness** to the evidence,作证／作證,S16 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
patronising,sound/patronising.mp3,Adjective,you may find going through these steps **patronising**,居高临下的／居高臨下的,S18 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
absurd,sound/absurd.mp3,Adjective,The examples we look at are certainly **absurd**,荒谬的／荒謬的,S18 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
pseudo-science,sound/pseudo-science.mp3,Noun,Wikipedia declares it as a **pseudo-science**,伪科学／偽科學,S20 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
intervention,sound/intervention.mp3,Noun,any **intervention** is more effective,干预／干預,S21 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
nutritionists,sound/nutritionists.mp3,Noun,therapists claim to be **nutritionists**,营养学家／營養學家,S22 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
grain,sound/grain.mp3,Noun,have a **grain** of science to them,一点儿／一點兒,S23 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
rhetorical,sound/rhetorical.mp3,Adjective,the **rhetorical** slights of hand,修辞的／修辭的,S24 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
amateurish,sound/amateurish.mp3,Adjective,**amateurish** errors,业余水平的／業餘水平的,S24 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
medicalise,sound/medicalise.mp3,Verb,**medicalise** social problems,医学化／醫學化,S25 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
reductionist,sound/reductionist.mp3,Adjective,"a **reductionist**, biomedical framework",还原论的／還原論的,S25 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
commodifiable,sound/commodifiable.mp3,Adjective,**commodifiable** solutions,可商品化的／可商品化的,S25 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
faddish,sound/faddish.mp3,Adjective,pills and **faddish** diets,赶时髦的／趕時髦的,S25 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
vanguard,sound/vanguard.mp3,Noun,a **vanguard** of startling wrongness,先锋／先鋒,S26 P1,C2/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
startling,sound/startling.mp3,Adjective,**startling** wrongness,惊人的／驚人的,S26 P1,B2/T-2,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
grotesque,sound/grotesque.mp3,Adjective,**grotesque** extremes,怪诞的／怪誕的,S28 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
prevalent,sound/prevalent.mp3,Adjective,incredible **prevalent** this stuff is,普遍的／普遍的,S29 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
flair,sound/flair.mp3,Noun,wrong with a lot more **flair**,风格／風格,S30 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
clipped,sound/clipped.mp3,Adjective,speak in **clipped** sentences,短促的／短促的,S2 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
infectious,sound/infectious.mp3,Adjective,an **infectious** smile,有感染力的／有感染力的,S2 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
wry,sound/wry.mp3,Adjective,a **wry** laugh,嘲讽的／嘲諷的,S2 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
limelight,sound/limelight.mp3,Noun,doesn’t need the **limelight**,聚光灯／聚光燈,S2 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
lectured,sound/lectured.mp3,Verb,listened more than she **lectured**,说教／說教,S4 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
chide,sound/chide.mp3,Verb,didn’t **chide** me,责备／責備,S5 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
ornery,sound/ornery.mp3,Adjective,my **ornery** grandfather,脾气坏的／脾氣壞的,S5 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
contentious,sound/contentious.mp3,Adjective,my **contentious** piano lessons,争吵的／爭吵的,S6 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
negligent,sound/negligent.mp3,Adjective,bordering on **negligent**,疏忽的／疏忽的,S7 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
roost,sound/roost.mp3,Noun,rule the **roost**,鸡窝／雞窩,S7 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
wholly,sound/wholly.mp3,Adverb,**wholly** invested,完全地／完全地,S8 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
durable,sound/durable.mp3,Adjective,deep and **durable** foundation,持久的／持久的,S8 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
flames,sound/flames.mp3,Noun,girls with **flames**,火焰／火焰,S9 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
dim,sound/dim.mp3,Verb,try to **dim**,使暗淡／使暗淡,S9 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
upright,sound/upright.mp3,Adjective,Robbie’s **upright** piano,竖式的／豎式的,S11 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
scales,sound/scales.mp3,Noun,pick up the **scales**,音阶／音階,S11 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
sight-reading,sound/sight-reading.mp3,Noun,**sight-reading** worksheets,视奏／視奏,S11 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
correlation,sound/correlation.mp3,Noun,encouraging **correlation**,相关性／相關性,S12 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
buzzy,sound/buzzy.mp3,Adjective,a **buzzy** satisfaction,兴奋的／興奮的,S12 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
unpurse,sound/unpurse.mp3,Verb,lips would **unpurse**,松开／鬆開,S13 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
honeymoon,sound/honeymoon.mp3,Noun,our **honeymoon** phase,蜜月／蜜月,S14 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
reverent,sound/reverent.mp3,Adjective,more **reverent**,恭敬的／恭敬的,S14 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
peek,sound/peek.mp3,Verb,started **peeking** ahead,偷看／偷看,S15 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
debut,sound/debut.mp3,Verb,proudly **debuted**,首次演出／首次演出,S16 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
vicious,sound/vicious.mp3,Adjective,a **vicious** “Good night!”,恶毒的／惡毒的,S16 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
chew out,sound/chew out.mp3,Verb,got **chewed out**,严厉责骂／嚴厲責罵,S17 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
treason,sound/treason.mp3,Noun,crime approaching **treason**,叛国罪／叛國罪,S17 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
chastened,sound/chastened.mp3,Adjective,Nor was I **chastened**,被惩戒的／被懲戒的,S18 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
lawyerly,sound/lawyerly.mp3,Adjective,I was **lawyerly**,像律师的／像律師的,S19 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
dictatorial,sound/dictatorial.mp3,Adjective,veered toward **dictatorial**,专横的／專橫的,S19 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
epic,sound/epic.mp3,Adjective,lessons became **epic**,史诗般的／史詩般的,S22 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
trying,sound/trying.mp3,Adjective,"**trying**, largely due to",令人沮丧的／令人沮喪的,S22 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
freewheeling,sound/freewheeling.mp3,Adjective,my **freewheeling** approach,随心所欲的／隨心所欲的,S23 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
seething,sound/seething.mp3,Adjective,still **seething**,愤怒的／憤怒的,S25 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
intervene,sound/intervene.mp3,Verb,weren’t ones to **intervene**,干预／干預,S26 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
bolster,sound/bolster.mp3,Verb,listen and **bolster**,支持／支持,S26 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
arcane,sound/arcane.mp3,Adjective,every **arcane** rule,神秘的／神秘的,S28 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
feistiness,sound/feistiness.mp3,Noun,appreciated my **feistiness**,好斗／好鬥,S29 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
artificial,sound/artificial.mp3,Adjective,**Artificial** intelligence…,(人造的/人造的),S1 P1,A2/T-1,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
engine,sound/engine.mp3,Noun,…been the **engine** of high-level STEM research…,(引擎/引擎),S1 P1,B1/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
array,sound/array.mp3,Noun,…a vast **array** of industries…,(大量/大量),S2 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
temper,sound/temper.mp3,Verb,…promise … has been **tempered**…,(緩和/缓和),S3 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
societal,sound/societal.mp3,Adjective,…more **societal** harm…,(社會的/社会的),S3 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
encode,sound/encode.mp3,Verb,…programmes are not **encoded** with structural biases…,(編碼/编码),S4 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
hybrid,sound/hybrid.mp3,Adjective,…'**hybrid**' jobs…,(混合的/混合的),S6 P1,B1/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
implementation,sound/implementation.mp3,Noun,…by the **implementation** of AI…,(實施/实施),S7 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
hamper,sound/hamper.mp3,Verb,Rather than **hampering** small businesses…,(阻礙/阻碍),S7 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
loom,sound/loom.mp3,Verb,…where problem areas might **loom***…,(隱現/隐现),S8 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
algorithmic,sound/algorithmic.mp3,Adjective,…**algorithmic** decision-making…,(演算法的/演算法的),S11 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
prejudice,sound/prejudice.mp3,Noun,…prejudices of programme developers…,(偏見/偏见),S11 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
riddle,sound/riddle.mp3,Verb,…have always been **riddled** with…,(充滿/充满),S13 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
calibrate,sound/calibrate.mp3,Verb,…When **calibrated** carefully…,(校準/校准),S14 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
gatekeeper,sound/gatekeeper.mp3,Noun,…human **gatekeepers**…,(把關者/把关者),S14 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
confer,sound/confer.mp3,Verb,…it ***confers*** … scientific credibility…,(授予/授予),S15 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
credibility,sound/credibility.mp3,Noun,…scientific ***credibility***…,(可信度/可信度),S15 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
redlining,sound/redlining.mp3,Noun,…end up with ***redlining*** again…,(紅線歧視/红线歧视),S18 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
ubiquity,sound/ubiquity.mp3,Noun,…expected ***ubiquity***…,(無處不在/无处不在),S21 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
self-police,sound/self-police.mp3,Verb,…largely ***self-police***…,(自我約束/自我约束),S22 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
liability,sound/liability.mp3,Noun,…potential ***liability*** from misuse…,(責任/责任),S24 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
overarching,sound/overarching.mp3,Adjective,…the ***overarching*** technology…,(總體的/总体的),S27 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
undermine,sound/undermine.mp3,Verb,…rather than ***undermine*** a decent civic life…,(破壞/破坏),S29 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
ethicist,sound/ethicist.mp3,Noun,…a debate among **ethicists**…,(倫理學家/伦理学家),S1 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
endeavour,sound/endeavour.mp3,Noun,…are ethical **endeavours**?,(努力/事业),S1 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
captivate,sound/captivate.mp3,Verb,…have been **captivated** by…,(迷住/迷住),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
contamination,sound/contamination.mp3,Noun,…with biological **contamination**…,(污染/污染),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
terrestrial,sound/terrestrial.mp3,Adjective,…introduction of **terrestrial** life forms…,(地球的/地球的),S3 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
ecological,sound/ecological.mp3,Adjective,…an **ecological** disaster…,(生態的/生态的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
intervention,sound/intervention.mp3,Noun,…benefitted from our **intervention**…,(干預/干预),S5 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
haven,sound/haven.mp3,Noun,…create **havens** for nature…,(避風港/避风港),S5 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
flora,sound/flora.mp3,Noun,…maintain the **flora**…,(植物群/植物群),S5 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
fauna,sound/fauna.mp3,Noun,…and **fauna**…,(動物群/动物群),S5 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
bar,sound/bar.mp3,Verb,…would **bar** the landing…,(禁止/禁止),S7 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
microorganism,sound/microorganism.mp3,Noun,…***microorganisms*** can be spread…,(微生物/微生物),S9 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
aesthetic,sound/aesthetic.mp3,Adjective,…safeguard the **aesthetic** qualities…,(美學的/美学的),S9 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
intrinsic,sound/intrinsic.mp3,Adjective,…have **intrinsic** moral worth…,(內在的/内在的),S13 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
grapple,sound/grapple.mp3,Verb,…While we ***grapple*** with…,(努力解決/努力解决),S15 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
endemic,sound/endemic.mp3,Adjective,…destroy **endemic** ecosystems…,(本地的/本地的),S15 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
meddling,sound/meddling.mp3,Noun,…spared from our ***meddling***…,(干涉/干涉),S17 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
terraforming,sound/terraforming.mp3,Noun,The process … is called **terraforming**.,(地球化/地球化),S1 P2,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
habitable,sound/habitable.mp3,Adjective,…create a more **habitable** living environment…,(適合居住的/适合居住的),S1 P2,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
undertaking,sound/undertaking.mp3,Noun,…would be a huge **undertaking**…,(事業/事业),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
millennia,sound/millennia.mp3,Noun,…needing several **millennia**…,(數千年/数千年),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
interval,sound/interval.mp3,Noun,…a brief **interval**…,(間隔/间隔),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
flourish,sound/flourish.mp3,Verb,…plants and animals could **flourish**…,(繁茂/繁茂),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
unrelenting,sound/unrelenting.mp3,Adjective,…require **unrelenting** scientific ingenuity…,(不懈的/不懈的),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
ingenuity,sound/ingenuity.mp3,Noun,…scientific **ingenuity**…,(獨創性/独创性),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
expenditure,sound/expenditure.mp3,Noun,…enormous capital **expenditure**…,(支出/支出),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
interrelated,sound/interrelated.mp3,Adjective,…three **interrelated** processes…,(相互關聯的/相互关联的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
trap,sound/trap.mp3,Verb,…carbon dioxide is **trapped** as ice…,(被困住/被困住),S3 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
ferry,sound/ferry.mp3,Verb,…would have to be **ferried** to Mars…,(運送/运送),S5 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
lightweight,sound/lightweight.mp3,Adjective,…they would have to be **lightweight**…,(輕便的/轻便的),S5 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
mimic,sound/mimic.mp3,Verb,…to **mimic** the natural process…,(模仿/模仿),S6 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
photosynthesis,sound/photosynthesis.mp3,Noun,…of plant **photosynthesis**…,(光合作用/光合作用),S6 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
oxygenate,sound/oxygenate.mp3,Verb,…slowly be **oxygenated**…,(充氧/充氧),S7 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
apparatus,sound/apparatus.mp3,Noun,…a breathing-assistance **apparatus**…,(裝置/装置),S7 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
immortal,sound/immortal.mp3,Adjective,…uttered these **immortal** words…,(不朽的/不朽的),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
propel,sound/propel.mp3,Verb,…**propelled** the human race…,(推動/推动),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
intrepid,sound/intrepid.mp3,Adjective,…**intrepid** explorers of space…,(無畏的/无畏的),S1 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
culmination,sound/culmination.mp3,Noun,…the **culmination** of human dreams…,(頂峰/顶峰),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
gaze,sound/gaze.mp3,Verb,…first **gazed** in fear and wonder…,(凝視/凝视),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
galaxy,sound/galaxy.mp3,Noun,…all we can about our **galaxy**…,(星系/星系),S2 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
improbable,sound/improbable.mp3,Adjective,"…the **improbable** 400,000-kilometre journey…",(難以置信的/难以置信的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
celestial,sound/celestial.mp3,Adjective,…our nearest **celestial** neighbour…,(天上的/天上的),S3 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
cramped,sound/cramped.mp3,Adjective,"…tiny, **cramped** and fragile…",(狹窄的/狭窄的),S3 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
miracle,sound/miracle.mp3,Noun,…a modern-day **miracle**…,(奇蹟/奇迹),S4 P1,A2/T-1,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
