Vocabulary,Sound,POS,Original,Chinese,Where,Level,Alias,Source,Type
prevalent,vocab/prevalent.mp3,Adjective,incredible **prevalent** this stuff is,普遍的／普遍的,S29 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
flair,vocab/flair.mp3,Noun,wrong with a lot more **flair**,风格／風格,S30 P1,C1/T-3,BadScience,DSEPastPaper1 BadScience 2024 B2 T5 Vocabulary,Vocabulary
clipped,vocab/clipped.mp3,Adjective,speak in **clipped** sentences,短促的／短促的,S2 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
infectious,vocab/infectious.mp3,Adjective,an **infectious** smile,有感染力的／有感染力的,S2 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
wry,vocab/wry.mp3,Adjective,a **wry** laugh,嘲讽的／嘲諷的,S2 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
limelight,vocab/limelight.mp3,Noun,doesn’t need the **limelight**,聚光灯／聚光燈,S2 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
lectured,vocab/lectured.mp3,Verb,listened more than she **lectured**,说教／說教,S4 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
chide,vocab/chide.mp3,Verb,didn’t **chide** me,责备／責備,S5 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
ornery,vocab/ornery.mp3,Adjective,my **ornery** grandfather,脾气坏的／脾氣壞的,S5 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
contentious,vocab/contentious.mp3,Adjective,my **contentious** piano lessons,争吵的／爭吵的,S6 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
negligent,vocab/negligent.mp3,Adjective,bordering on **negligent**,疏忽的／疏忽的,S7 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
roost,vocab/roost.mp3,Noun,rule the **roost**,鸡窝／雞窩,S7 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
wholly,vocab/wholly.mp3,Adverb,**wholly** invested,完全地／完全地,S8 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
durable,vocab/durable.mp3,Adjective,deep and **durable** foundation,持久的／持久的,S8 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
flames,vocab/flames.mp3,Noun,girls with **flames**,火焰／火焰,S9 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
dim,vocab/dim.mp3,Verb,try to **dim**,使暗淡／使暗淡,S9 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
upright,vocab/upright.mp3,Adjective,Robbie’s **upright** piano,竖式的／豎式的,S11 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
scales,vocab/scales.mp3,Noun,pick up the **scales**,音阶／音階,S11 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
sight-reading,vocab/sight-reading.mp3,Noun,**sight-reading** worksheets,视奏／視奏,S11 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
correlation,vocab/correlation.mp3,Noun,encouraging **correlation**,相关性／相關性,S12 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
buzzy,vocab/buzzy.mp3,Adjective,a **buzzy** satisfaction,兴奋的／興奮的,S12 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
unpurse,vocab/unpurse.mp3,Verb,lips would **unpurse**,松开／鬆開,S13 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
honeymoon,vocab/honeymoon.mp3,Noun,our **honeymoon** phase,蜜月／蜜月,S14 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
reverent,vocab/reverent.mp3,Adjective,more **reverent**,恭敬的／恭敬的,S14 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
peek,vocab/peek.mp3,Verb,started **peeking** ahead,偷看／偷看,S15 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
debut,vocab/debut.mp3,Verb,proudly **debuted**,首次演出／首次演出,S16 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
vicious,vocab/vicious.mp3,Adjective,a **vicious** “Good night!”,恶毒的／惡毒的,S16 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
chew out,vocab/chew out.mp3,Verb,got **chewed out**,严厉责骂／嚴厲責罵,S17 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
treason,vocab/treason.mp3,Noun,crime approaching **treason**,叛国罪／叛國罪,S17 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
chastened,vocab/chastened.mp3,Adjective,Nor was I **chastened**,被惩戒的／被懲戒的,S18 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
lawyerly,vocab/lawyerly.mp3,Adjective,I was **lawyerly**,像律师的／像律師的,S19 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
dictatorial,vocab/dictatorial.mp3,Adjective,veered toward **dictatorial**,专横的／專橫的,S19 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
epic,vocab/epic.mp3,Adjective,lessons became **epic**,史诗般的／史詩般的,S22 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
trying,vocab/trying.mp3,Adjective,"**trying**, largely due to",令人沮丧的／令人沮喪的,S22 P1,B2/T-2,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
freewheeling,vocab/freewheeling.mp3,Adjective,my **freewheeling** approach,随心所欲的／隨心所欲的,S23 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
seething,vocab/seething.mp3,Adjective,still **seething**,愤怒的／憤怒的,S25 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
intervene,vocab/intervene.mp3,Verb,weren’t ones to **intervene**,干预／干預,S26 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
bolster,vocab/bolster.mp3,Verb,listen and **bolster**,支持／支持,S26 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
arcane,vocab/arcane.mp3,Adjective,every **arcane** rule,神秘的／神秘的,S28 P1,C1/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
feistiness,vocab/feistiness.mp3,Noun,appreciated my **feistiness**,好斗／好鬥,S29 P1,C2/T-3,MichelleObama,DSEPastPaper1 MichelleObama 2023 B2 T4 Vocabulary,Vocabulary
artificial,vocab/artificial.mp3,Adjective,**Artificial** intelligence…,(人造的/人造的),S1 P1,A2/T-1,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
engine,vocab/engine.mp3,Noun,…been the **engine** of high-level STEM research…,(引擎/引擎),S1 P1,B1/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
array,vocab/array.mp3,Noun,…a vast **array** of industries…,(大量/大量),S2 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
temper,vocab/temper.mp3,Verb,…promise … has been **tempered**…,(緩和/缓和),S3 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
societal,vocab/societal.mp3,Adjective,…more **societal** harm…,(社會的/社会的),S3 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
encode,vocab/encode.mp3,Verb,…programmes are not **encoded** with structural biases…,(編碼/编码),S4 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
hybrid,vocab/hybrid.mp3,Adjective,…'**hybrid**' jobs…,(混合的/混合的),S6 P1,B1/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
implementation,vocab/implementation.mp3,Noun,…by the **implementation** of AI…,(實施/实施),S7 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
hamper,vocab/hamper.mp3,Verb,Rather than **hampering** small businesses…,(阻礙/阻碍),S7 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
loom,vocab/loom.mp3,Verb,…where problem areas might **loom***…,(隱現/隐现),S8 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
algorithmic,vocab/algorithmic.mp3,Adjective,…**algorithmic** decision-making…,(演算法的/演算法的),S11 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
prejudice,vocab/prejudice.mp3,Noun,…prejudices of programme developers…,(偏見/偏见),S11 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
riddle,vocab/riddle.mp3,Verb,…have always been **riddled** with…,(充滿/充满),S13 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
calibrate,vocab/calibrate.mp3,Verb,…When **calibrated** carefully…,(校準/校准),S14 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
gatekeeper,vocab/gatekeeper.mp3,Noun,…human **gatekeepers**…,(把關者/把关者),S14 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
confer,vocab/confer.mp3,Verb,…it ***confers*** … scientific credibility…,(授予/授予),S15 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
credibility,vocab/credibility.mp3,Noun,…scientific ***credibility***…,(可信度/可信度),S15 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
redlining,vocab/redlining.mp3,Noun,…end up with ***redlining*** again…,(紅線歧視/红线歧视),S18 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
ubiquity,vocab/ubiquity.mp3,Noun,…expected ***ubiquity***…,(無處不在/无处不在),S21 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
self-police,vocab/self-police.mp3,Verb,…largely ***self-police***…,(自我約束/自我约束),S22 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
liability,vocab/liability.mp3,Noun,…potential ***liability*** from misuse…,(責任/责任),S24 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
overarching,vocab/overarching.mp3,Adjective,…the ***overarching*** technology…,(總體的/总体的),S27 P1,C1/T-3,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
undermine,vocab/undermine.mp3,Verb,…rather than ***undermine*** a decent civic life…,(破壞/破坏),S29 P1,B2/T-2,AI,DSEPastPaper1 AI 2022 B2 T4 Vocabulary,Vocabulary
ethicist,vocab/ethicist.mp3,Noun,…a debate among **ethicists**…,(倫理學家/伦理学家),S1 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
endeavour,vocab/endeavour.mp3,Noun,…are ethical **endeavours**?,(努力/事业),S1 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
captivate,vocab/captivate.mp3,Verb,…have been **captivated** by…,(迷住/迷住),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
contamination,vocab/contamination.mp3,Noun,…with biological **contamination**…,(污染/污染),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
terrestrial,vocab/terrestrial.mp3,Adjective,…introduction of **terrestrial** life forms…,(地球的/地球的),S3 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
ecological,vocab/ecological.mp3,Adjective,…an **ecological** disaster…,(生態的/生态的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
intervention,vocab/intervention.mp3,Noun,…benefitted from our **intervention**…,(干預/干预),S5 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
haven,vocab/haven.mp3,Noun,…create **havens** for nature…,(避風港/避风港),S5 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
flora,vocab/flora.mp3,Noun,…maintain the **flora**…,(植物群/植物群),S5 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
fauna,vocab/fauna.mp3,Noun,…and **fauna**…,(動物群/动物群),S5 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
bar,vocab/bar.mp3,Verb,…would **bar** the landing…,(禁止/禁止),S7 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
microorganism,vocab/microorganism.mp3,Noun,…***microorganisms*** can be spread…,(微生物/微生物),S9 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
aesthetic,vocab/aesthetic.mp3,Adjective,…safeguard the **aesthetic** qualities…,(美學的/美学的),S9 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
intrinsic,vocab/intrinsic.mp3,Adjective,…have **intrinsic** moral worth…,(內在的/内在的),S13 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
grapple,vocab/grapple.mp3,Verb,…While we ***grapple*** with…,(努力解決/努力解决),S15 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
endemic,vocab/endemic.mp3,Adjective,…destroy **endemic** ecosystems…,(本地的/本地的),S15 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
meddling,vocab/meddling.mp3,Noun,…spared from our ***meddling***…,(干涉/干涉),S17 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T8 Vocabulary,Vocabulary
terraforming,vocab/terraforming.mp3,Noun,The process … is called **terraforming**.,(地球化/地球化),S1 P2,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
habitable,vocab/habitable.mp3,Adjective,…create a more **habitable** living environment…,(適合居住的/适合居住的),S1 P2,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
undertaking,vocab/undertaking.mp3,Noun,…would be a huge **undertaking**…,(事業/事业),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
millennia,vocab/millennia.mp3,Noun,…needing several **millennia**…,(數千年/数千年),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
interval,vocab/interval.mp3,Noun,…a brief **interval**…,(間隔/间隔),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
flourish,vocab/flourish.mp3,Verb,…plants and animals could **flourish**…,(繁茂/繁茂),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
unrelenting,vocab/unrelenting.mp3,Adjective,…require **unrelenting** scientific ingenuity…,(不懈的/不懈的),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
ingenuity,vocab/ingenuity.mp3,Noun,…scientific **ingenuity**…,(獨創性/独创性),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
expenditure,vocab/expenditure.mp3,Noun,…enormous capital **expenditure**…,(支出/支出),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
interrelated,vocab/interrelated.mp3,Adjective,…three **interrelated** processes…,(相互關聯的/相互关联的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
trap,vocab/trap.mp3,Verb,…carbon dioxide is **trapped** as ice…,(被困住/被困住),S3 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
ferry,vocab/ferry.mp3,Verb,…would have to be **ferried** to Mars…,(運送/运送),S5 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
lightweight,vocab/lightweight.mp3,Adjective,…they would have to be **lightweight**…,(輕便的/轻便的),S5 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
mimic,vocab/mimic.mp3,Verb,…to **mimic** the natural process…,(模仿/模仿),S6 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
photosynthesis,vocab/photosynthesis.mp3,Noun,…of plant **photosynthesis**…,(光合作用/光合作用),S6 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
oxygenate,vocab/oxygenate.mp3,Verb,…slowly be **oxygenated**…,(充氧/充氧),S7 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
apparatus,vocab/apparatus.mp3,Noun,…a breathing-assistance **apparatus**…,(裝置/装置),S7 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T7 Vocabulary,Vocabulary
immortal,vocab/immortal.mp3,Adjective,…uttered these **immortal** words…,(不朽的/不朽的),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
propel,vocab/propel.mp3,Verb,…**propelled** the human race…,(推動/推动),S1 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
intrepid,vocab/intrepid.mp3,Adjective,…**intrepid** explorers of space…,(無畏的/无畏的),S1 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
culmination,vocab/culmination.mp3,Noun,…the **culmination** of human dreams…,(頂峰/顶峰),S2 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
gaze,vocab/gaze.mp3,Verb,…first **gazed** in fear and wonder…,(凝視/凝视),S2 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
galaxy,vocab/galaxy.mp3,Noun,…all we can about our **galaxy**…,(星系/星系),S2 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
improbable,vocab/improbable.mp3,Adjective,"…the **improbable** 400,000-kilometre journey…",(難以置信的/难以置信的),S3 P1,B2/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
celestial,vocab/celestial.mp3,Adjective,…our nearest **celestial** neighbour…,(天上的/天上的),S3 P1,C1/T-3,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
cramped,vocab/cramped.mp3,Adjective,"…tiny, **cramped** and fragile…",(狹窄的/狭窄的),S3 P1,B1/T-2,Terraforming,DSEPastPaper1 Terraforming 2021 B2 T6 Vocabulary,Vocabulary
